NT12204 NT12204_755.gff.gz
NT12205 NT12205_756.gff.gz
NT12210 NT12210_329.gff.gz
NT12211 NT12211_330.gff.gz
NT12212 NT12212_331.gff.gz
NT12213 NT12213_332.gff.gz
NT12215 NT12215_333.gff.gz
NT12217 NT12217_334.gff.gz
NT12218 NT12218_335.gff.gz
NT12219 NT12219_757.gff.gz
NT12220 NT12220_758.gff.gz
NT12221 NT12221_759.gff.gz
NT12223 NT12223_336.gff.gz
NT12224 NT12224_760.gff.gz
NT12226 NT12226_337.gff.gz
NT12230 NT12230_338.gff.gz
NT12232 NT12232_339.gff.gz
NT12233 NT12233_340.gff.gz
NT12257 NT12257_761.gff.gz
NT12262 NT12262_762.gff.gz
NT12285 NT12285_763.gff.gz
NT12286 NT12286_764.gff.gz
NT12288 NT12288_765.gff.gz
NT12292 NT12292_766.gff.gz
NT12294 NT12294_341.gff.gz
NT12298 NT12298_342.gff.gz
NT12299 NT12299_343.gff.gz
NT12302 NT12302_344.gff.gz
NT12303 NT12303_345.gff.gz
NT12305 NT12305_346.gff.gz
NT12306 NT12306_347.gff.gz
NT12308 NT12308_348.gff.gz
NT12309 NT12309_349.gff.gz
NT12310 NT12310_767.gff.gz
NT12311 NT12311_350.gff.gz
NT12314 NT12314_351.gff.gz
NT12315 NT12315_352.gff.gz
NT12317 NT12317_353.gff.gz
NT12319 NT12319_354.gff.gz
NT12320 NT12320_355.gff.gz
NT12321 NT12321_356.gff.gz
NT12325 NT12325_133.gff.gz
NT12326 NT12326_143.gff.gz
NT12327 NT12327_134.gff.gz
NT12328 NT12328_138.gff.gz
NT12329 NT12329_142.gff.gz
NT12330 NT12330_144.gff.gz
NT12331 NT12331_141.gff.gz
NT12332 NT12332_139.gff.gz
NT12333 NT12333_140.gff.gz
NT12334 NT12334_145.gff.gz
NT12335 NT12335_135.gff.gz
NT12336 NT12336_136.gff.gz
NT12337 NT12337_137.gff.gz
NT12338 NT12338_2.gff.gz
NT12340 NT12340_27.gff.gz
NT12341 NT12341_194.gff.gz
NT12342 NT12342_27.gff.gz
NT12343 NT12343_357.gff.gz
NT12346 NT12346_358.gff.gz
NT12347 NT12347_359.gff.gz
NT12353 NT12353_360.gff.gz
NT12355 NT12355_361.gff.gz
NT12358 NT12358_362.gff.gz
NT12359 NT12359_363.gff.gz
NT12360 NT12360_768.gff.gz
NT12361 NT12361_364.gff.gz
NT12362 NT12362_365.gff.gz
NT12363 NT12363_366.gff.gz
